title,author,subject,year,abstract,tags,availability
Network and Parallel Computing,Ching-Hsien Hsu; Xiaoming Li; Xuanhua Shi,Software Architecture,2013,Topics: software architecture,software architecture,unavailable
Component-oriented development and assembly,Piram Manickam,Software Architecture,2013,Topics: software architecture,software architecture,unavailable
Model driven engineering languages and systems,"MoDELS 2008 (2008 Toulouse, France)",Software Architecture,2008,"11th international conference, MoDELS 2008, Toulouse, France, September 28 - October 3, 2008 : proceedings",software architecture,available
Programming in the large with design patterns,Eddie Burris,Software Architecture,2012,Topics: software architecture,software architecture,available
Software architecture,"TC2 Working IFIP Conference on  Software Architecture (1st 1999 San Antonio, Texas)",Software Architecture,1999,Topics: software architecture,software architecture,available
The architecture of scientific software,"IFIP TC2/WG2.5 Working Conference on the Architecture of Scientific Software (2000 Ottawa, Ont.)",Software Architecture,2001,Topics: software architecture,software architecture,unavailable
Communications proceedings,"ACM Computer Science Conference (20th 1992 Kansas City, Mo.)",Software Architecture,1992,Topics: software architecture,software architecture,unavailable
Reliable systems on unreliable networked platforms,Fabrice Kordon,Software Architecture,2007,Topics: software architecture,software architecture,available
Executable UML,Stephen J. Mellor; Marc J. Balcer,Software Architecture,2002,Topics: software architecture,software architecture,available
Model-driven software development,Christian Bunse,Software Architecture,2009,Topics: software architecture,software architecture,unavailable
Software architecture,"EWSA 2004 (2004 St. Andrews, Scotland)",Software Architecture,2004,Topics: software architecture,software architecture,available
Economics-Driven Software Architecture,Ivan Mistrik; Rami Bahsoon; Rick Kazman,Software Architecture,2014,Topics: software architecture,software architecture,available
IBM FileNet P8 Platform and Architecture,Wei-Dong Jackie Zhu,Software Architecture,2011,Topics: software architecture,software architecture,available
Source Code Exploration with Memcached,Praveen Raj; Prashanth Raghu,Software Architecture,2023,Topics: software architecture,software architecture,unavailable
Trends in enterprise application architecture,Dirk Draheim; Gerald Weber,Software Architecture,2006,Topics: software architecture,software architecture,available
Beginning ATL 3 COM programming,Richard Grimes,Software Architecture,1999,Topics: software architecture,software architecture,available
Agents for games and simulations,Frank Dignum,Software Architecture,2009,Topics: software architecture,software architecture,available
"Fourth Working IEEE/Ifip Conference on Software Architecture (Wicsa 2004): 12-15 June 2004, Oslo, Norway",Institute of Electrical and Electronics Engineers,Software Architecture,2004,Topics: software architecture,software architecture,available
The World's Greatest Museum,Unknown,Software Architecture,2000,Topics: software architecture,software architecture,available
How to Guide to Building Autodesk® Revit® Families Volume I Workbook,Michael J. Lindsay,Software Architecture,2018,Topics: software architecture,software architecture,unavailable
How to Guide to Autodesk® Revit® MEP Project Setup,Michael J. Lindsay,Software Architecture,2018,Topics: software architecture,software architecture,available
How to Guide to Building Autodesk® Revit® Families Volume I,Michael J. Lindsay,Software Architecture,2017,Topics: software architecture,software architecture,available
How to Guide to Building Autodesk® Revit® Families - Volume II,Michael J. Lindsay,Software Architecture,2020,Topics: software architecture,software architecture,available
Softbuilt,Felecia Davis,Software Architecture,2022,Topics: software architecture,software architecture,unavailable
Software architecture,"TC2 Working IFIP Conference on Software Architecture (1st 1999 San Antonio, Tex.)",Software Architecture,1999,Topics: software architecture,software architecture,available
OpenStudio,R. Guglielmetti,Software Architecture,2011,Topics: software architecture,software architecture,available
Robotics in Tall Building Construction,Alberto Balzan; Claudia Cabrera Aparicio; Dario Trabucco,Software Architecture,2021,Topics: software architecture,software architecture,unavailable
The design structure analysis system,John Rusnak,Software Architecture,2005,Topics: software architecture,software architecture,available
IEEE recommended practice for software design descriptions,IEEE Computer Society. Software Engineering Standards Committee,Software Architecture,1998,Topics: software architecture,software architecture,available
"Proceedings of the 12th European Conference on Pattern Languages of Programs, 2007","European Conference on Pattern Languages of Programs (12th 2007 Irsee, Germany)",Software Architecture,2008,Topics: software architecture,software architecture,available
OpenStack networking cookbook,Sriram Subramanian,Software Architecture,2015,Topics: software architecture,software architecture,available
Human factors in software development and design,Saqib Saeed; Imran Sarwar Bajwa; Zaigham Mahmood,Software Architecture,2015,Topics: software architecture,software architecture,available
Practical Linux Infrastructure,Syed Ali,Software Architecture,2014,Topics: software architecture,software architecture,available
Introducing and implementing Autodesk Revit,Lay Christopher Fox; James J Balding,Software Architecture,2004,Topics: software architecture,software architecture,unavailable
2009 ICSE Workshop on Leadership and Management in Software Architecture (LMSA),B.C.) ICSE Workshop on Leadership and Management in Software Architecture (2009 Vancouver,Software Architecture,2009,Topics: software architecture,software architecture,unavailable
A tool for quality-driven architecture model transformation,Janne Merilinna,Software Architecture,2005,Topics: software architecture,software architecture,unavailable
